condition_id,swap_variant,layer,logit_A,logit_B,delta_AB,rank_A,rank_B,j_score_A,j_score_B,j_delta_AB,j_rank_A,j_rank_B
sc10_orig,False,56,-22.53125,-118.625,96.09375,261725,262143,,,,,
sc10_orig,False,57,-37.8125,-174.125,136.3125,262142,262143,,,,,
sc10_orig,False,58,-5.01953125,-28.546875,23.52734375,230074,262136,,,,,
sc10_orig,False,59,2.0625,42.71875,-40.65625,522,0,,,,,
sc10_swap,True,0,-265.5,-214.875,-50.625,262133,262126,,,,,
sc10_swap,True,1,-608.5,-1025.0,416.5,262131,262138,,,,,
sc10_swap,True,2,-587.0,-994.0,407.0,262131,262138,,,,,
sc10_swap,True,3,-524.0,-996.5,472.5,262131,262139,,,,,
sc10_swap,True,4,-514.5,-982.5,468.0,262131,262139,,,,,
sc10_swap,True,5,-370.25,-784.0,413.75,262133,262141,,,,,
sc10_swap,True,6,-278.25,-580.5,302.25,262132,262141,,,,,
sc10_swap,True,7,-205.5,-402.0,196.5,262131,262140,,,,,
sc10_swap,True,8,-220.625,-438.0,217.375,262131,262140,,,,,
sc10_swap,True,9,-167.375,-345.75,178.375,262128,262140,,,,,
sc10_swap,True,10,-137.125,-269.5,132.375,262127,262140,,,,,
sc10_swap,True,11,-119.5625,-219.625,100.0625,262129,262139,,,,,
sc10_swap,True,12,-155.875,-258.25,102.375,262128,262138,,,,,
sc10_swap,True,13,-154.875,-255.125,100.25,262129,262138,,,,,
sc10_swap,True,14,-155.5,-249.25,93.75,262129,262137,,,,,
sc10_swap,True,15,-133.875,-181.125,47.25,262130,262137,,,,,
sc10_swap,True,16,-126.1875,-158.375,32.1875,262130,262137,,,,,
sc10_swap,True,17,-112.6875,-112.9375,0.25,262133,262134,,,,,
sc10_swap,True,18,-111.3125,-112.6875,1.375,262133,262134,,,,,
sc10_swap,True,19,-108.4375,-113.8125,5.375,262133,262136,,,,,
sc10_swap,True,20,-95.6875,-97.0625,1.375,262133,262134,,,,,
sc10_swap,True,21,-91.875,-96.125,4.25,262131,262135,,,,,
sc10_swap,True,22,-94.0625,-97.125,3.0625,262133,262136,,,,,
sc10_swap,True,23,-91.875,-98.6875,6.8125,262134,262135,,,,,
sc10_swap,True,24,-94.6875,-109.875,15.1875,262133,262137,,,,,
sc10_swap,True,25,-92.0625,-114.0625,22.0,262133,262136,,,,,
sc10_swap,True,26,-87.0625,-109.1875,22.125,262134,262138,,,,,
sc10_swap,True,27,-66.8125,-81.6875,14.875,262133,262137,,,,,
sc10_swap,True,28,-83.0,-95.0,12.0,262135,262139,,,,,
sc10_swap,True,29,-53.59375,-36.96875,-16.625,262007,254841,,,,,
sc10_swap,True,30,-45.96875,-25.578125,-20.390625,260437,162729,,,,,
sc10_swap,True,31,-30.421875,5.93359375,-36.35546875,201370,469,,,,,
sc10_swap,True,32,-22.109375,26.046875,-48.15625,94049,35,,,,,
sc10_swap,True,33,-15.140625,26.046875,-41.1875,31122,37,,,,,
sc10_swap,True,34,-16.078125,21.421875,-37.5,36332,65,,,,,
sc10_swap,True,35,-9.4765625,20.546875,-30.0234375,9338,64,,,,,
sc10_swap,True,36,-8.4453125,18.71875,-27.1640625,11821,80,,,,,
sc10_swap,True,37,-11.8984375,10.2734375,-22.171875,31647,192,,,,,
sc10_swap,True,38,-18.15625,-6.73828125,-11.41796875,143113,20756,,,,,
sc10_swap,True,39,-8.28125,-13.203125,4.921875,116324,183000,,,,,
sc10_swap,True,40,2.390625,-13.75,16.140625,29799,218889,,,,,
sc10_swap,True,41,10.0234375,16.625,-6.6015625,1039,151,,,,,
sc10_swap,True,42,3.208984375,11.921875,-8.712890625,4689,212,,,,,
sc10_swap,True,43,-6.54296875,-6.53125,-0.01171875,76050,75879,,,,,
sc10_swap,True,44,-7.49609375,-5.3203125,-2.17578125,101995,67188,,,,,
sc10_swap,True,45,-7.4296875,1.435546875,-8.865234375,110627,11303,,,,,
sc10_swap,True,46,-2.736328125,8.3046875,-11.041015625,47040,922,,,,,
sc10_swap,True,47,-1.30859375,12.59375,-13.90234375,33682,154,,,,,
sc10_swap,True,48,2.0234375,19.265625,-17.2421875,9269,10,,,,,
sc10_swap,True,49,3.33203125,23.296875,-19.96484375,5355,6,,,,,
